"","id","name","role","cast_crew","movie_id","overview","release_date","genre_ids","original_title","original_language","title","popularity","vote_count","vote_average"
"1",6968,"Hugh Jackman","Logan / Wolverine","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"2",2387,"Patrick Stewart","Charles Xavier / Professor X","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"3",1464650,"Dafne Keen","Laura Kinney / X-23","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"4",467645,"Boyd Holbrook","Donald Pierce","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"5",39189,"Stephen Merchant","Caliban","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"6",65421,"Elizabeth Rodriguez","Gabriela Lopez","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"7",20766,"Richard E. Grant","Dr. Zander Rice","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"8",23628,"Eriq La Salle","Will Munson","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"9",21215,"Elise Neal","Kathryn Munson","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
"10",1788166,"Quincy Fouse","Nate Munson","cast",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.","2017-02-28","28,18,878","Logan","en","Logan",128.555807,2060,7.6
